"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","1","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v61999829","3.58.1","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.49","","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v61999830","3.58.2","0.00","","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v61999831","3.58.3","","..","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
