"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","60","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","60","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","78","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","143","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","239","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","249","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","268","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","238","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","387","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","385","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44351301","1.58.1","352","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.17","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.17","","","","2"
