"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2012","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2013","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","1","","","","0"
"2014","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2015","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2016","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","1","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","1","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","2","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Actual incidents","Number","223","units","0","v44391651","2.58.1","0","","","","0"
"2011","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44403493","2.58.2","0.00","","","","2"
"2012","Newfoundland and Labrador [10]","2016A000210","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44403493","2.58.2","0.00","","","","2"
